globalId,name,questionText,dataSourceShortText,dataSourceLinkLongText
32,In which countries are people on average least sat,In which countries are people on average least satisfied with their lives?,Multiple sources,"There are many ways to measure happiness and it is a difficult thing to measure because it is a temporary feeling and also somewhat subjective. Our World in Data has looked at multiple sources and measures[1]. 

Perhaps the best way is the “cantril ladder question”, where people are asked where they feel they are on a ladder from 0 to 10, where 10 is the best possible life and 0 is the worst possible life for them. This is used in many surveys, for example in the Gallup World Poll which is used in the World Happiness report[2]. 

A slightly different format is used in two other surveys. In the World Value Survey[3] people are asked if they are very happy, quite happy, not very happy, or not happy at all. In the European Commission’s Eurobarometer[4] people are asked if they are very satisfied, fairly satisfied, not very satisfied or not at all satisfied with life. 

Asking about life satisfaction and happiness is not exactly the same thing, as self-reported happiness has both an experiential and emotional side. However, there is some crossover between the two types of questions and both give similar results in terms of people in richer countries having both higher life satisfaction and happiness. 

[1]  [Happiness and life satisfaction - Our World in Data](https://ourworldindata.org/happiness-and-life-satisfaction#mis-perceptions-about-others-happiness)  
[2]  [World Happiness Report](https://www.gallup.com/analytics/349487/world-happiness-report.aspx?utm_source=public_sector&utm_medium=email&utm_campaign=world_happiness_report_march_3_non_download_03272025&utm_term=information&utm_content=download_report_cta_1&thank-you-report-form=1)  
[3]  [The World Values Survey (WVS)](http://www.worldvaluessurvey.org/WVSEVSjoint2017.jsp)  
[4]  [European Commission – Eurobarometer Interactive](https://ec.europa.eu/commfrontoffice/publicopinion/index.cfm/Chart/getChart/themeKy/1/groupKy/1)"
72,Population living in another country,"In 1990, 3% of the world’s population lived in a different country than where they were born. What is that share today?",Data source: UN International Migrant Stock (2020),"This data comes from the UN International Migrant Stock (2024)[1] and uses mostly census data, equating international migrants with the foreign-born population whenever possible. The percentage of the total population that lived in another country than the one they were born in was 3.7% in 2024. 

In most countries that lacked data on place of birth, information on the country of citizenship was available and was used as the basis for the identification of international migrants. 
In these cases, equating international migrants with foreign citizens (this was for 46 of the countries or areas). 
There are some drawbacks with this: People who were born in the country of residence may be included in the number of international migrants even though they may have never lived abroad. Also, people who were born abroad and who naturalized in their country of residence are excluded from the stock of international migrants when using citizenship to define international migrants.

The UN says coverage of refugees in population censuses is uneven. In countries where refugees have been granted refugee status and allowed to integrate, they are normally covered by the population census as any other international migrant. However, in many countries, refugees lack freedom of movement and are required to reside in camps or other designated areas. In these cases, population censuses may ignore refugees. When it comes to undocumented immigrants, they may or may not be included depending on the country. 

No matter how you count, the number of 4% will be much closer to the truth than any of the other alternatives.

[1]  [UN International Migrant Stock (2024)](https://www.un.org/development/desa/pd/content/international-migrant-stock) 
[2]  [UN International Migrant Stock (2020) Methodology](https://www.un.org/development/desa/pd/sites/www.un.org.development.desa.pd/files/undesa_pd_2020_international_migrant_stock_documentation.pdf)  
[3]  [International Migrant Stock World Map - Migration Data Portal](https://www.migrationdataportal.org/themes/international-migrant-stocks)
[4]  For this question we consulted two independent experts, including Madeleine Sumption of the Migration Observatory at Oxford University."
27,How many countries worldwide have holdings of plan,How many countries worldwide have holdings of plant genetic materials conserved in genebanks?,Source: FAO,"This number[1] comes from countries directly reporting how many samples of plant material they have stored in genebanks to the UN Food and Agriculture Organization (FAO) for SDG indicator 2.5.1[2]. 

There is potential for the number to be higher than 115, because this data only counts plant material stored in medium or long-term facilities and because not all countries report to the FAO each year. 
For example, China is listed as having no plant accessions in their labs, even though the China National Genebank houses  “The Living Database of Animal and Plant Resources”[4].

This data does not take into account the quality or security of the genebanks and the level of risk of losing gene samples within the bank. 

[1]  [FAO SDG Progress Report 2023](https://openknowledge.fao.org/items/bc1775eb-b738-470e-b56a-be47a7dee5d9)  
[2]  [UNstats SDG indicator database - Indicator 2.5.1](https://unstats.un.org/sdgs/indicators/database/?indicator=2.5.1)  
[3]  [Genebank Standards for Plant Genetic Resources for Food and Agriculture](http://www.fao.org/documents/card/en/c/7b79ee93-0f3c-5f58-9adc-5d4ef063f9c7/)  
[4]  [China National Genebank - The Living Database of Animal and Plant Resources](https://www.cngb.org/brc-pam.html)  
[5]  [Explainer: What is a gene bank? Science News for Students](https://www.sciencenewsforstudents.org/article/explainer-what-gene-bank)"
104,UN peacekeepers,Which group of countries sent the most troops on UN peacekeeping missions during the past 5 years?,Source: UN,"According to the UN: “UN police and military personnel are ""contributed"" to serve under the blue flag from over 100 countries to carry out the mandates defined by the Security Council. Military operations aim to protect populations against threats and contribute to a secure environment. Policing is central in preventing, mitigating and resolving violent conflict and contributing to early peacebuilding and reconciliation. Uniformed personnel are contributed and deployed under several different types of arrangements.”

The latest ones we used are from January 2025, and show that Bangladesh (5,689), India (5,375), Nepal (5,942), Rwanda (5,897) and Ethiopia (1,533) each contribute over ten times more troops to UN missions than the UK (268), Germany (194) and South Korea (540) and more than a hundred times more than the US (21) and Switzerland (22).

According to the UN: ""Peacekeeping soldiers are paid by their own Governments according to their own national rank and salary scale. Countries volunteering uniformed personnel to peacekeeping operations are reimbursed by the UN at a standard rate, approved by the General Assembly, of US$1,428 per soldier per month as of 1 July 2019.

""Police and other civilian personnel are paid from the peacekeeping budgets established for each operation.

""The UN also reimburses Member States for providing equipment, personnel and support services to military or police contingents.""

[1]  [UN - Troop and Police Contributors](https://peacekeeping.un.org/en/troop-and-police-contributors)
[2]  [Gapminder's tool  showing data for individual countries](https://gapm.io/vpk)
[3]  [United Nations Peacekeeping –How We Are Funded](https://peacekeeping.un.org/en/how-we-are-funded)
[4]  For this question we consulted three independent experts, including Richard Caplan of Oxford University."
101,Rainforest trend,"Of all the area that was tropical rainforest 100 years ago worldwide, how much is still tropical rainforest today?",Source: Rainforest Foundation Norway,"In the report we use for this question, tropical rainforest is defined as having a lot of precipitation (between 1.5m - 9m a year according to the report) and a climate which is frost free. The report uses data from the FAO and Global Forest Watch. It is, the authors say, the first analysis of tropical rainforest ever done.

The figures from 100 years ago rely on estimates and cannot be considered exact. Indeed, among the six independent experts we contacted about this question, there were various disagreements and skepticism about the figures  Rainforest Foundation Norway uses. Counting trees is notoriously difficult and subject to different definitions and counting. However, there was little argument that - of the three options used in the question - “more than 30%” was more correct than the other two options. 

[1]  [Rainforest Foundation Norway - “State of the Tropical Rainforest”, from March 2021](https://www.regnskog.no/en/news/only-a-third-of-the-worlds-rainforests-remains-intact) 

[2]  For this question we consulted six independent experts, including Rodney Keenan of the University of Melbourne."
1797,Vaccination safety,"Worldwide, how many people in 2018 believed that vaccines were not safe?",Source: Wellcome Global Monitor,"The Wellcome Trust’s 2018 study (which was carried before Coronavirus) was the biggest global study analysis of people’s attitudes to vaccinations. It includes responses from more than 140,000 people in over 140 countries. At a global level, when presented with the statement “vaccines are safe”, 61% strongly agreed, 18% somewhat agreed, 11% neither agreed or disagreed, 5% somewhat disagreed, 2% strongly disagreed and 3% had no opinion.Within the global average, there are big differences between countries with France (at 33%) having the highest share of people who didn’t consider vaccines safe. 

[1] [Wellcome Global Monitor. How does the world feel about science and health? (2018)](https://wellcome.ac.uk/sites/default/files/wellcome-global-monitor-2018.pdf)"
1731,New electricity from renewable sources," In 2023, how much of the newly built electricity production in the world was renewable?
",Source: IEA,"[1]  [IRENA, Renewable Energy Highlights, page 3](https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2024/Jul/Renewable_energy_highlights_FINAL_July_2024.pdf?rev=469292ef67144702b515ecb20575ec7d&hash=D407DEA0F6837AFE35ACA3594EEFDFDE) "
1670,Share of refugees in low-income countries,"In 2023, around 9% of the world's population lived in low-income countries. What share of the global refugee population lived there?",Source: UNHCR ,"To calculate this figure, we combined the numbers for refugees under the UN’s mandate, plus Palestinians, Venezuelans who have fled the country and all asylum seekers. The figures for 2023 show that around 18% fled to low-income countries.

[1]  [UNHCR via World Bank](https://data.worldbank.org/indicator/SM.POP.REFG?locations=XM-1W-XD-XP)

[2]  [UNHCR data calculated by Gapminder](https://docs.google.com/spreadsheets/d/1uumISSn2du1yMx3UDLa6IQtOg7t8N8F3f5m99NYFWgI/edit#gid=803060387)   "
1673,HIC share of refugees,"In 2000, around 20% of all refugees worldwide had fled to a high-income country. What was the number in 2024?",Source: UNHCR,[1] [UNHCR Mid-Year Trend 2024](https://www.unhcr.org/mid-year-trends)
39,How many child refugees attended primary school (b,"Of all child refugees aged 7 to 12 years worldwide, how many attended school in 2024?",Source: UNHCR,"In the 2024 Education Report[1] UNHCR estimates that 65% of child refugees of primary school age, are in enrolled in education. UNHCR acknowledges the difficulties of accurately monitoring the size of refugee populations throughout the world, such as the varying definitions of ‘refugee’ and the varying quality of records throughout the world. 

The bigger issue with this figure is that it only measures enrollment in primary education, not the quality of the education. In some places the education offered to refugees has been criticized for being of a lower standard than the rest of the country. 

Lastly, there is only data for registered refugees. This means that there are potentially displaced people who - for a number of reasons - are not legally registered and recognized as being refugees and so who are not included in the 65% estimate. 

[1] [UNHCR's 2024 Education Report](https://www.unrefugees.org/news/five-takeaways-from-unhcrs-2024-education-report/)"
