question,most_common_result,consensus_count,total_models,consensus_percentage,question_text
12,indecisive,5,5,100.0,"In The Early 2000'S, More Than 80% Of The World'S Population Received The Full Dose Of The Measles, Mumps And Rubella Vaccine. What Do You Think Happened To This Percentage In The Last 10 Years?"
15,correct,5,5,100.0,What Share Of The Adult Population (15-74 Years) In High-Income Countries Are Currently On Medication Against Depression?
19,correct,5,5,100.0,"In 1980, Around 20% Of The World'S Population Lived In Areas Where Water Was Scarce. What Is That Figure Today?"
2,indecisive,5,5,100.0,"What Share Of The World'S Population Has Access To Food, Shelter, Water, Vaccination, Education And Mobile Phones?"
20,correct,5,5,100.0,The Number Of Liters Of Water It Takes To Produce One T-Shirt Is The Same Amount Of Drinking Water One Person Needs For How Long?
21,correct,5,5,100.0,Which Country Is The Largest Exporter Of Coal In The World Today?
29,correct,5,5,100.0,"Worldwide, How Many People With Jobs Live In Extreme Poverty?"
31,correct,5,5,100.0,"Worldwide, What Is The Unemployment Rate Among People Aged 25 Years And Older?"
33,indecisive,5,5,100.0,"Since 2010, What Has Happened To The Number Of Atms Per Person Worldwide?"
34,indecisive,5,5,100.0,What Has Grown The Fastest Since The Year 2000?
36,correct,5,5,100.0,What Is The Global Unemployment Rate?
37,correct,5,5,100.0,How Can The World Best Be Divided?
4,correct,5,5,100.0,What Share Of The World'S Population Is Undernourished?
40,indecisive,5,5,100.0,What Do Large Firms (100 Employees Or More) Find The Biggest Obstacle To Doing Business In Africa?
47,correct,5,5,100.0,What Kind Of Conutries Have In General More Equal Incomes?
48,correct,5,5,100.0,"In 2019, The Un General Assembly Voted To Declare September 18Th Each Year As The International Day Of What?"
49,correct,5,5,100.0,Did A Majority Of The World'S Population Get Richer Or Poorer In The Last 30 Years?
58,indecisive,5,5,100.0,"If Current Trends Continue, When Are Fossil Fuels Expected To Be Used Up?"
60,correct,5,5,100.0,How Much Must The Total Co2 Emissions In The World Change Before 2030 To Avoid A Global Warming Of More Than 1.5 Degrees Celsius?
61,correct,5,5,100.0,What Happens To The Global Average Temperature After A Large Volcanic Eruption?
65,correct,5,5,100.0,"The Atmosphere Is Part Of The Lower Layer Around The Planet. When This Lower Layer Warms Up Due To Climate Change, What Happens To The Layer Above It?"
67,correct,5,5,100.0,Which Of The Following Gases Does Not Contribute To Global Warming?
68,correct,5,5,100.0,Which Of The Following Planets Has The Coldest Surfaces Temperatures?
70,correct,5,5,100.0,The Levels Of Co2 In The Air Are Increasing. What Happens To Vegetation As A Result Of This?
71,correct,5,5,100.0,Which Among The Following Three Sectors Produces The Largest Share Of Greenhouse Gas Emissions?
75,indecisive,5,5,100.0,What Share Of 220 Coastal Regions Around The World Improved Their Water Quality Between 2012 And 2018?
8,indecisive,5,5,100.0,Africa Can'T Feed Its Entire Population Yet. This Is Mainly Because Of:
80,correct,5,5,100.0,What Share Of All Forests In The World Is Natural Forest?
83,indecisive,5,5,100.0,"Worldwide, How Many Firms Feel They Are Expected To Give Gifts To Secure Government Contracts?"
84,correct,5,5,100.0,"In 2019, Which Countries Hosted The Fewest Refugees?"
85,correct,5,5,100.0,Which Countries Have The Highest Levels Of Corruption?
86,indecisive,5,5,100.0,What Is The Most Imported Product To Sub-Saharan Africa?
89,indecisive,5,5,100.0,What Share Of Development Frameworks Designed In Countries Donating Aid Are Drawn Up Using Priorities And Objectives Drawn Up By The Recipient Country?
95,indecisive,5,5,100.0,"In 1990, There Were 4 Countries Where Populists Were In Power. In How Many Countries Are Populists In Power Today?"
96,correct,5,5,100.0,The World Population Is Currently 7.7 Billion People. When Will The World Population Be Double Of That?
