question_id,question_text,language,option_a,option_a_correctness,option_b,option_b_correctness,option_c,option_c_correctness,correct_answer
40,在世界范围内，妇女在国家议会中所占的席位比例是多少？,zh-CN,大约 5%,Very Wrong,大约 15%,Wrong,大约 25%,Correct,大约 25%
60,世界上有多少人拥有移动电话（和电话号码）？,zh-CN,接近 70%,Correct,接近 80%,Wrong,接近 90%,Very Wrong,接近 70%
1,全球自杀率在近 20 年里有什么变化？,zh-CN,减少了大约 25%,Correct,基本没有变化,Wrong,增加了大约 25%,Very Wrong,减少了大约 25%
4,在高收入国家（如德国和美国），生活在极端贫困（每天的收入低于 2 美元）中的人口占总人口的比例为多少？,zh-CN,少于 1%,Correct,大约 11％,Wrong,大约 21％,Very Wrong,少于 1%
59,过去 40 年间，已知储量中剩余的石油和天然气数量：,zh-CN,减少到一半以下,Very Wrong,大致保持不变,Wrong,增加一倍以上,Correct,增加一倍以上
1741,在人类活动排放的所有温室气体中，有多少来自燃烧化石燃料？,zh-CN,大约 25％,Very Wrong,大约 45％,Wrong,大约 65％,Correct,大约 65％
1570,以下哪种风险因素会导致更多死亡？,zh-CN,不干净的水源,Very Wrong,受污染的空气,Correct,受污染的食物,Wrong,受污染的空气
1737,在高收入国家中，有多少人认为气候变化会在未来 20 年内对他们的国家构成威胁？,zh-CN,大约 20％,Very Wrong,大约 50%,Wrong,大约 80％,Correct,大约 80％
1691,在全世界使用的所有能源中，电力占多大比例？,zh-CN,20%左右,Correct,50%左右,Wrong,80%左右,Very Wrong,20%左右
1731,2022 年，全世界增加的发电量中有多少来自可再生能源？,zh-CN,大约 10％,Very Wrong,大约 45％,Wrong,大约 85％,Correct,大约 85％
1636,与前一年相比，由于新冠病毒大流行，2020 年全球二氧化碳排放量减少了多少？,zh-CN,减少 5% 左右,Correct,减少 20% 左右,Wrong,减少 40% 左右,Very Wrong,减少 5% 左右
85,如果我们现在把每年的二氧化碳净排放量减半，全球平均温度会发生什么变化？,zh-CN,会降低,Very Wrong,会保持不变,Wrong,会持续上升,Correct,会持续上升
72,1990 年，世界上有 3%的人口生活在与他们出生地不同的国家。今天这个比例是多少？,zh-CN,4%,Correct,14%,Wrong,24%,Very Wrong,4%
1620,旅游业在全球经济总量中占多大比重？,zh-CN,10%左右,Correct,25%左右,Wrong,40%左右,Very Wrong,10%左右
11,1990 年，世界人口的 58% 生活在低收入国家。 在今天，这个比例是多少？,zh-CN,约 9%,Correct,约 37％,Wrong,约 61％,Very Wrong,约 9%
1603,到 2050 年，哪个地区的老年人（65 岁以上）数量将不会翻番？,zh-CN,低收入国家,Very Wrong,中等收入国家,Wrong,高收入国家,Correct,高收入国家
1706,电子和制药公司用于研发的费用约占其收入的 12%。能源和燃料生产公司花费多少用于研发？,zh-CN,大约 0.3％,Correct,大约 3％,Wrong,大约 30％,Very Wrong,大约 0.3％
1528,全世界有多少人的食物、水、厕所、电力、学校教育和医疗保健等基本需求得到满足？,zh-CN,20% 左右,Very Wrong,50% 左右,Wrong,80% 左右,Correct,80% 左右
5,全球暖化带来的多余热量中有多少被海洋吸收了？,zh-CN,約百分之 10,Very Wrong,約百分之 50,Wrong,約百分之 90,Correct,約百分之 90
76,当下，居住在城镇的人口是 1950 年的 5 倍多。农村人口发生了什么变化？,zh-CN,接近减半,Very Wrong,几乎没有变化,Wrong,接近翻倍,Correct,接近翻倍
1520,在过去 20 年里，每年在野外捕获的鱼类总量发生了什么变化？,zh-CN,降低了大约 30%,Wrong,保持不变,Correct,上升了大约 30%,Very Wrong,保持不变
20_text,现在，世界上大概有八十亿人。哪个选项正确展示出当今的人口的分布？,zh-CN,美洲 10 亿，欧洲 10 亿，非洲 20 亿，亚洲 40 亿,Wrong,美洲 10 亿，欧洲 10 亿，非洲 10 亿，亚洲 50 亿,Correct,美洲 20 亿，欧洲 10 亿，非洲 10 亿，亚洲 40 亿,Very Wrong,美洲 10 亿，欧洲 10 亿，非洲 10 亿，亚洲 50 亿
