model_id,model_params,prompt_template,response_rate
gpt-3.5-turbo-1106,{'temperature': 0.01},"Pick the correct answer: A, B or C. If you can't determine the answer please make your best guess.

Question:
{question_text}
A. {option_a}
B. {option_b}
C. {option_c}

Answer:",100.0
gpt-4-0125-preview,{'temperature': 0.01},"Please answer this multiple choices question. If you can't determine the answer please make your best guess:

Question:
{question_text}
A. {option_a}
B. {option_b}
C. {option_c}

Answer:",100.0
gpt-4-1106-preview,{'temperature': 0.01},"Pick the correct answer: A, B or C. If you can't determine the answer please make your best guess.

Question:
{question_text}
A. {option_a}
B. {option_b}
C. {option_c}

Answer:",100.0
gpt-4-0125-preview,{'temperature': 0.01},"Pick the correct answer: A, B or C. If you can't determine the answer please make your best guess.

Question:
{question_text}
A. {option_a}
B. {option_b}
C. {option_c}

Answer:",100.0
gemini/gemini-pro,{'temperature': 0.01},"Pick the correct answer: A, B or C. If you can't determine the answer please make your best guess.

Question:
{question_text}
A. {option_a}
B. {option_b}
C. {option_c}

Answer:",100.0
gemini/gemini-pro,{'temperature': 0.01},"Please answer this multiple choices question. If you can't determine the answer please make your best guess:

Question:
{question_text}
A. {option_a}
B. {option_b}
C. {option_c}

Answer:",100.0
gemini/gemini-pro,{'temperature': 0.01},"Question:
{question_text}
Is it: {option_a};  {option_b}; or {option_c}? 

Answer:",99.64028776978418
gpt-3.5-turbo-1106,{'temperature': 0.01},"Please answer this multiple choices question. If you can't determine the answer please make your best guess:

Question:
{question_text}
A. {option_a}
B. {option_b}
C. {option_c}

Answer:",99.64028776978418
gpt-4-0125-preview,{'temperature': 0.01},"Question:
{question_text}
Is it: {option_a};  {option_b}; or {option_c}? 

Answer:",99.64028776978418
gpt-4-1106-preview,{'temperature': 0.01},"Please answer this multiple choices question. If you can't determine the answer please make your best guess:

Question:
{question_text}
A. {option_a}
B. {option_b}
C. {option_c}

Answer:",99.28057553956835
gpt-3.5-turbo-1106,{'temperature': 0.01},"Question:
{question_text}
Is it: {option_a};  {option_b}; or {option_c}? 

Answer:",98.92086330935251
gpt-4-1106-preview,{'temperature': 0.01},"Question:
{question_text}
Is it: {option_a};  {option_b}; or {option_c}? 

Answer:",97.48201438848922
qwen-max-1201,{'temperature': 0.01},"以下单选题，请你从 A，B，C 中选择一个正确的答案。如果你不知道哪个答案正确，请回答你认为最接近的答案。
问题：
{question_text}
A. {option_a}
B. {option_b}
C. {option_c}
答案：
",92.44604316546763
qwen-max-1201,{'temperature': 0.01},"请回答以下单选题。如果你不知道哪个答案正确，请回答你认为最接近的答案。
问题：
{question_text}
A. {option_a}
B. {option_b}
C. {option_c}
答案：
",89.20863309352518
qwen-max-1201,{'temperature': 0.01},"问题：
{question_text}
是 {option_a}，{option_b}，还是 {option_c}？
答案：
",86.33093525179856
