question_id,question_text,language,option_a,option_a_correctness,option_b,option_b_correctness,option_c,option_c_correctness,correct_answer
1528,"How many people worldwide have their basic needs met when it comes to food, water, toilets, electricity, schooling and healthcare?",en-US,Around 20%,Very Wrong,Around 50%,Wrong,Around 80%,Correct,Around 80%
13,What share of the world’s population lives in megacities (cities with at least 10 million people)?,en-US,Around 8%,Correct,Around 28%,Wrong,Around 48%,Very Wrong,Around 8%
10,How many companies in the world have a woman as top manager or CEO?,en-US,Around 2%,Very Wrong,Around 10%,Wrong,Around 18%,Correct,Around 18%
85,"What happens to the average global temperature if we halve the annual net emissions of CO2, today?",en-US,It decreases,Very Wrong,It stays the same,Wrong,It keeps increasing,Correct,It keeps increasing
32,In which countries are people on average least satisfied with their lives?,en-US,Low-income countries,Correct,Middle-income countries,Wrong,High-income countries,Very Wrong,Low-income countries
4,What share of the population in high-income countries (like Germany and the USA) live in extreme poverty (with less than $2/day)?,en-US,Less than 1%,Correct,Around 11%,Wrong,Around 21%,Very Wrong,Less than 1%
11,"In 1990, 58% of the world's population lived in low-income countries. What is the share today?",en-US,Around 9%,Correct,Around 37%,Wrong,Around 61%,Very Wrong,Around 9%
1728,"If we stopped emitting greenhouse gases today, for how long would the sea level continue to rise?
",en-US,About 10 years,Very Wrong,About 100 years,Wrong,"Over 1,000 years",Correct,"Over 1,000 years"
1722,"Since agreements were made in 1987 to limit ozone-depleting substances, how many have been phased out?
",en-US,Less than 40%,Very Wrong,Around 70%,Wrong,More than 95%,Correct,More than 95%
1715,What is it all greenhouse gases do?,en-US,Pollute air,Very Wrong,Absorb heat,Correct,Reflect light and heat,Wrong,Absorb heat
1693,"To avoid global warming of more than 1.5°​C, the world must use a limited amount of fossil fuels until 2030. If recent trends continue we will exceed that limit. By how much?",en-US,40% too much,Very Wrong,80% too much,Wrong,120% too much,Correct,120% too much
1649,When did scientists first start to realize that human activities have the power to influence the climate?,en-US,Around 1900,Correct,Around 1950,Wrong,Around 1980,Very Wrong,Around 1900
1639,Which of these gases is NOT a greenhouse gas?,en-US,Water vapor,Wrong,Nitrogen gas,Correct,Ozone,Very Wrong,Nitrogen gas
1633,"70% of Europeans said they were planning to switch to a more environmentally friendly energy provider to fight climate change, in 2020. What was this number in China?",en-US,0.34,Very Wrong,0.64,Wrong,0.94,Correct,0.94
