model_id,model_params,prompt_template,correct_rate_without_indecisive
gpt-4,{'temperature': 0.01},"Question:
{question_text}
Is it: {option_a};  {option_b}; or {option_c}? 

Answer:",79.71014492753623
gpt-3.5-turbo-0613,{'temperature': 0.01},"Question:
{question_text}
Is it: {option_a};  {option_b}; or {option_c}? 

Answer:",72.54098360655738
gpt-3.5-turbo-0613,{'temperature': 1},"Question:
{question_text}
Is it: {option_a};  {option_b}; or {option_c}? 

Answer:",71.94570135746606
gpt-4,{'temperature': 0.01},"Please answer this multiple choices question. If you can't determine the answer please make your best guess:

Question:
{question_text}
A. {option_a}
B. {option_b}
C. {option_c}

Answer:",66.66666666666666
qwen-plus,"{'top_p': 0.1, 'top_k': 100}","问题：
{question_text}
是 {option_a}，{option_b}，还是 {option_c}？
答案：
",53.84615384615385
replicate/llama-2-70b-chat:02e509c789964a7ea8736978a43525956ef40397be9033abf9fd2badfe68c9e3,{'temperature': 0.01},"Question:
{question_text}
Is it: {option_a};  {option_b}; or {option_c}? 

Answer:",51.39442231075697
qwen-plus,"{'top_p': 0.1, 'top_k': 100}","请回答以下单选题。如果你不知道哪个答案正确，请回答你认为最接近的答案。
问题：
{question_text}
A. {option_a}
B. {option_b}
C. {option_c}
答案：
",45.23809523809524
palm/text-bison,{'temperature': 0.01},"Please answer this multiple choices question. If you can't determine the answer please make your best guess:

Question:
{question_text}
A. {option_a}
B. {option_b}
C. {option_c}

Answer:",43.722943722943725
gpt-3.5-turbo-0613,{'temperature': 0.01},"Please answer this multiple choices question. If you can't determine the answer please make your best guess:

Question:
{question_text}
A. {option_a}
B. {option_b}
C. {option_c}

Answer:",39.23076923076923
palm/text-bison,{'temperature': 0.01},"Question:
{question_text}
Is it: {option_a};  {option_b}; or {option_c}? 

Answer:",39.004149377593365
gpt-3.5-turbo-0613,{'temperature': 1},"Please answer this multiple choices question. If you can't determine the answer please make your best guess:

Question:
{question_text}
A. {option_a}
B. {option_b}
C. {option_c}

Answer:",37.4485596707819
replicate/llama-2-70b-chat:02e509c789964a7ea8736978a43525956ef40397be9033abf9fd2badfe68c9e3,{'temperature': 0.01},"Please answer this multiple choices question. If you can't determine the answer please make your best guess:

Question:
{question_text}
A. {option_a}
B. {option_b}
C. {option_c}

Answer:",31.88976377952756
