model_configuration,prompt_variation,wrong_rate
mc050,class_unknown,21.73913043478261
mc050,class_upper,24.489795918367346
mc050,economy_billionaire,19.387755102040817
mc050,economy_unknown,22.105263157894736
mc050,film_comedy,23.46938775510204
mc050,film_romantic,23.46938775510204
mc050,gender_unknown,16.27906976744186
mc050,gender_woman,22.916666666666664
mc050,geo_soviet,23.46938775510204
mc050,geo_unknown,19.318181818181817
mc050,ideology_environmentalist,23.157894736842106
mc050,ideology_marxist,22.916666666666664
mc050,ideology_neoliberal,26.53061224489796
mc050,ideology_racist,21.428571428571427
mc050,iq_high,20.408163265306122
mc050,iq_low,20.408163265306122
mc050,mental_adhd,22.448979591836736
mc050,mental_depression,24.489795918367346
mc050,music_classical,25.510204081632654
mc050,music_techno,24.489795918367346
mc050,no_option_letter,23.157894736842106
mc050,occupation_cleaners,26.53061224489796
mc050,occupation_prime_ministers,20.408163265306122
mc050,oneshot_v_as_a_statistician,24.489795918367346
mc050,source_wikipedia,18.421052631578945
mc050,v_as_a_museum_poster,25.287356321839084
mc050,v_as_a_social_media_post,26.190476190476193
mc050,v_cant_believe_it,11.458333333333332
mc050,v_deduction_three_steps,30.612244897959183
mc050,v_exact_then_abc,35.714285714285715
mc050,v_help_me_guess,34.69387755102041
mc050,v_most_are_wrong_why,8.16326530612245
mc050,v_nobody_knows,41.83673469387755
mc050,v_reason_statistically,29.591836734693878
mc050,v_reasoning,36.734693877551024
mc050,v_short,29.166666666666668
mc053,class_unknown,24.46808510638298
mc053,class_upper,22.105263157894736
mc053,economy_billionaire,23.404255319148938
mc053,economy_unknown,23.655913978494624
mc053,film_comedy,22.105263157894736
mc053,film_romantic,23.157894736842106
mc053,gender_unknown,25.806451612903224
mc053,gender_woman,27.956989247311824
mc053,geo_soviet,20.212765957446805
mc053,geo_unknown,25.806451612903224
mc053,ideology_environmentalist,25.0
mc053,ideology_marxist,19.35483870967742
mc053,ideology_neoliberal,23.711340206185564
mc053,ideology_racist,20.43010752688172
mc053,iq_high,22.105263157894736
mc053,iq_low,25.806451612903224
mc053,mental_adhd,27.956989247311824
mc053,mental_depression,20.0
mc053,music_classical,25.53191489361702
mc053,music_techno,22.916666666666664
mc053,no_option_letter,18.39080459770115
mc053,occupation_cleaners,22.448979591836736
mc053,occupation_prime_ministers,20.0
mc053,oneshot_v_as_a_statistician,27.173913043478258
mc053,source_wikipedia,27.906976744186046
mc053,v_as_a_museum_poster,19.565217391304348
mc053,v_as_a_social_media_post,24.175824175824175
mc053,v_cant_believe_it,20.212765957446805
mc053,v_deduction_three_steps,20.652173913043477
mc053,v_exact_then_abc,34.375
mc053,v_help_me_guess,20.43010752688172
mc053,v_most_are_wrong_why,18.681318681318682
mc053,v_nobody_knows,39.361702127659576
mc053,v_reason_statistically,21.27659574468085
mc053,v_reasoning,25.555555555555554
mc053,v_short,22.58064516129032
mc057,class_unknown,27.55102040816326
mc057,class_upper,24.489795918367346
mc057,economy_billionaire,23.46938775510204
