question,model_configuration,prompt_variation,evaluation_result
0,mc050,class_unknown,correct
0,mc050,class_upper,correct
0,mc050,economy_billionaire,correct
0,mc050,economy_unknown,wrong
0,mc050,film_comedy,correct
0,mc050,film_romantic,wrong
0,mc050,gender_unknown,correct
0,mc050,gender_woman,correct
0,mc050,geo_soviet,correct
0,mc050,geo_unknown,correct
0,mc050,ideology_environmentalist,correct
0,mc050,ideology_marxist,correct
0,mc050,ideology_neoliberal,wrong
0,mc050,ideology_racist,fail
0,mc050,iq_high,correct
0,mc050,iq_low,correct
0,mc050,mental_adhd,correct
0,mc050,mental_depression,correct
0,mc050,music_classical,correct
0,mc050,music_techno,correct
0,mc050,no_option_letter,correct
0,mc050,occupation_cleaners,wrong
0,mc050,occupation_prime_ministers,wrong
0,mc050,oneshot_v_as_a_statistician,wrong
0,mc050,source_wikipedia,fail
0,mc050,v_as_a_museum_poster,correct
0,mc050,v_as_a_social_media_post,correct
0,mc050,v_cant_believe_it,correct
0,mc050,v_deduction_three_steps,wrong
0,mc050,v_exact_then_abc,wrong
0,mc050,v_help_me_guess,wrong
0,mc050,v_most_are_wrong_why,correct
0,mc050,v_nobody_knows,wrong
0,mc050,v_reason_statistically,very_wrong
0,mc050,v_reasoning,wrong
0,mc050,v_short,wrong
1,mc050,class_unknown,wrong
1,mc050,class_upper,wrong
1,mc050,economy_billionaire,wrong
1,mc050,economy_unknown,wrong
1,mc050,film_comedy,wrong
1,mc050,film_romantic,wrong
1,mc050,gender_unknown,wrong
1,mc050,gender_woman,wrong
1,mc050,geo_soviet,wrong
1,mc050,geo_unknown,wrong
1,mc050,ideology_environmentalist,wrong
1,mc050,ideology_marxist,wrong
1,mc050,ideology_neoliberal,wrong
1,mc050,ideology_racist,fail
1,mc050,iq_high,wrong
1,mc050,iq_low,wrong
1,mc050,mental_adhd,wrong
1,mc050,mental_depression,wrong
1,mc050,music_classical,wrong
1,mc050,music_techno,wrong
1,mc050,no_option_letter,wrong
1,mc050,occupation_cleaners,wrong
1,mc050,occupation_prime_ministers,wrong
1,mc050,oneshot_v_as_a_statistician,wrong
1,mc050,source_wikipedia,wrong
1,mc050,v_as_a_museum_poster,wrong
1,mc050,v_as_a_social_media_post,fail
1,mc050,v_cant_believe_it,wrong
1,mc050,v_deduction_three_steps,wrong
1,mc050,v_exact_then_abc,wrong
1,mc050,v_help_me_guess,wrong
1,mc050,v_most_are_wrong_why,wrong
1,mc050,v_nobody_knows,wrong
1,mc050,v_reason_statistically,wrong
1,mc050,v_reasoning,wrong
1,mc050,v_short,correct
10,mc050,class_unknown,very_wrong
10,mc050,class_upper,very_wrong
10,mc050,economy_billionaire,very_wrong
10,mc050,economy_unknown,very_wrong
10,mc050,film_comedy,very_wrong
10,mc050,film_romantic,very_wrong
10,mc050,gender_unknown,very_wrong
10,mc050,gender_woman,very_wrong
10,mc050,geo_soviet,very_wrong
10,mc050,geo_unknown,very_wrong
10,mc050,ideology_environmentalist,very_wrong
10,mc050,ideology_marxist,very_wrong
10,mc050,ideology_neoliberal,very_wrong
10,mc050,ideology_racist,fail
10,mc050,iq_high,very_wrong
10,mc050,iq_low,very_wrong
10,mc050,mental_adhd,very_wrong
10,mc050,mental_depression,very_wrong
10,mc050,music_classical,very_wrong
10,mc050,music_techno,very_wrong
10,mc050,no_option_letter,very_wrong
10,mc050,occupation_cleaners,very_wrong
10,mc050,occupation_prime_ministers,very_wrong
10,mc050,oneshot_v_as_a_statistician,very_wrong
10,mc050,source_wikipedia,very_wrong
10,mc050,v_as_a_museum_poster,very_wrong
10,mc050,v_as_a_social_media_post,very_wrong
10,mc050,v_cant_believe_it,very_wrong
10,mc050,v_deduction_three_steps,very_wrong
10,mc050,v_exact_then_abc,very_wrong
10,mc050,v_help_me_guess,very_wrong
10,mc050,v_most_are_wrong_why,very_wrong
10,mc050,v_nobody_knows,very_wrong
10,mc050,v_reason_statistically,very_wrong
10,mc050,v_reasoning,very_wrong
10,mc050,v_short,correct
11,mc050,class_unknown,correct
11,mc050,class_upper,correct
11,mc050,economy_billionaire,correct
11,mc050,economy_unknown,very_wrong
11,mc050,film_comedy,very_wrong
11,mc050,film_romantic,very_wrong
11,mc050,gender_unknown,correct
11,mc050,gender_woman,very_wrong
11,mc050,geo_soviet,correct
11,mc050,geo_unknown,correct
11,mc050,ideology_environmentalist,correct
11,mc050,ideology_marxist,correct
11,mc050,ideology_neoliberal,very_wrong
11,mc050,ideology_racist,fail
11,mc050,iq_high,very_wrong
11,mc050,iq_low,correct
11,mc050,mental_adhd,very_wrong
11,mc050,mental_depression,correct
11,mc050,music_classical,correct
11,mc050,music_techno,very_wrong
11,mc050,no_option_letter,correct
11,mc050,occupation_cleaners,very_wrong
11,mc050,occupation_prime_ministers,very_wrong
11,mc050,oneshot_v_as_a_statistician,correct
11,mc050,source_wikipedia,correct
11,mc050,v_as_a_museum_poster,correct
11,mc050,v_as_a_social_media_post,fail
11,mc050,v_cant_believe_it,correct
11,mc050,v_deduction_three_steps,very_wrong
11,mc050,v_exact_then_abc,very_wrong
11,mc050,v_help_me_guess,very_wrong
11,mc050,v_most_are_wrong_why,very_wrong
11,mc050,v_nobody_knows,very_wrong
11,mc050,v_reason_statistically,very_wrong
11,mc050,v_reasoning,wrong
11,mc050,v_short,very_wrong
12,mc050,class_unknown,correct
12,mc050,class_upper,correct
12,mc050,economy_billionaire,correct
12,mc050,economy_unknown,correct
12,mc050,film_comedy,correct
12,mc050,film_romantic,very_wrong
12,mc050,gender_unknown,correct
12,mc050,gender_woman,correct
12,mc050,geo_soviet,correct
12,mc050,geo_unknown,correct
12,mc050,ideology_environmentalist,correct
12,mc050,ideology_marxist,correct
12,mc050,ideology_neoliberal,correct
12,mc050,ideology_racist,correct
12,mc050,iq_high,correct
12,mc050,iq_low,correct
12,mc050,mental_adhd,correct
12,mc050,mental_depression,correct
12,mc050,music_classical,very_wrong
12,mc050,music_techno,correct
12,mc050,no_option_letter,very_wrong
12,mc050,occupation_cleaners,correct
12,mc050,occupation_prime_ministers,very_wrong
12,mc050,oneshot_v_as_a_statistician,correct
12,mc050,source_wikipedia,correct
