question,model_configuration,correct_rate
0,mc050,61.76470588235294
0,mc053,58.82352941176471
0,mc057,16.666666666666664
0,mc064,97.05882352941177
0,mc066,58.06451612903226
1,mc050,2.941176470588235
1,mc053,31.428571428571427
1,mc057,0.0
1,mc064,11.428571428571429
1,mc066,0.0
10,mc050,2.857142857142857
10,mc053,5.555555555555555
10,mc057,2.7777777777777777
10,mc064,8.571428571428571
10,mc066,2.941176470588235
11,mc050,47.05882352941176
11,mc053,3.0303030303030303
11,mc057,77.77777777777779
11,mc064,5.714285714285714
11,mc066,37.142857142857146
12,mc050,80.0
12,mc053,55.55555555555556
12,mc057,16.666666666666664
12,mc064,66.66666666666666
12,mc066,21.21212121212121
13,mc050,97.14285714285714
13,mc053,97.22222222222221
13,mc057,80.55555555555556
13,mc064,82.35294117647058
13,mc066,72.22222222222221
14,mc050,5.714285714285714
14,mc053,18.181818181818183
14,mc057,0.0
14,mc064,0.0
14,mc066,14.285714285714285
15,mc050,100.0
15,mc053,100.0
15,mc057,100.0
15,mc064,100.0
15,mc066,100.0
16,mc050,100.0
16,mc053,44.44444444444444
16,mc057,94.44444444444444
16,mc064,100.0
16,mc066,94.28571428571428
17,mc050,79.41176470588235
17,mc053,34.285714285714285
17,mc057,66.66666666666666
17,mc064,100.0
17,mc066,100.0
18,mc050,100.0
18,mc053,61.29032258064516
18,mc057,36.11111111111111
18,mc064,97.14285714285714
18,mc066,91.66666666666666
19,mc050,97.14285714285714
19,mc053,94.28571428571428
19,mc057,100.0
19,mc064,97.14285714285714
19,mc066,100.0
2,mc050,25.0
2,mc053,5.714285714285714
2,mc057,11.11111111111111
2,mc064,80.55555555555556
2,mc066,78.125
20,mc050,94.44444444444444
20,mc053,100.0
20,mc057,100.0
20,mc064,100.0
20,mc066,100.0
21,mc050,100.0
21,mc053,100.0
21,mc057,100.0
21,mc064,100.0
21,mc066,100.0
22,mc050,86.11111111111111
22,mc053,100.0
22,mc057,91.66666666666666
22,mc064,97.22222222222221
22,mc066,89.65517241379311
23,mc050,11.428571428571429
23,mc053,75.0
23,mc057,52.77777777777778
23,mc064,100.0
23,mc066,67.64705882352942
24,mc050,2.941176470588235
24,mc053,5.555555555555555
24,mc057,0.0
24,mc064,68.57142857142857
24,mc066,2.941176470588235
25,mc050,97.14285714285714
25,mc053,36.666666666666664
25,mc057,91.66666666666666
25,mc064,100.0
25,mc066,97.14285714285714
26,mc050,0.0
26,mc053,18.181818181818183
26,mc057,8.333333333333332
26,mc064,62.857142857142854
26,mc066,0.0
27,mc050,3.0303030303030303
27,mc053,30.555555555555557
27,mc057,0.0
27,mc064,5.555555555555555
27,mc066,40.0
28,mc050,88.23529411764706
28,mc053,83.87096774193549
28,mc057,55.55555555555556
28,mc064,93.75
28,mc066,92.3076923076923
29,mc050,100.0
29,mc053,97.14285714285714
29,mc057,97.22222222222221
29,mc064,100.0
29,mc066,100.0
3,mc050,17.24137931034483
3,mc053,77.14285714285715
3,mc057,2.7777777777777777
3,mc064,100.0
3,mc066,89.28571428571429
30,mc050,36.11111111111111
30,mc053,97.14285714285714
30,mc057,2.7777777777777777
30,mc064,100.0
30,mc066,75.0
31,mc050,100.0
31,mc053,100.0
31,mc057,100.0
31,mc064,100.0
31,mc066,100.0
32,mc050,100.0
32,mc053,41.17647058823529
32,mc057,86.11111111111111
32,mc064,100.0
32,mc066,86.11111111111111
