question,model_configuration,very_wrong_rate
0,mc050,2.941176470588235
0,mc053,11.76470588235294
0,mc057,50.0
0,mc064,2.941176470588235
0,mc066,19.35483870967742
1,mc050,0.0
1,mc053,20.0
1,mc057,0.0
1,mc064,0.0
1,mc066,0.0
10,mc050,97.14285714285714
10,mc053,83.33333333333334
10,mc057,97.22222222222221
10,mc064,88.57142857142857
10,mc066,97.05882352941177
11,mc050,50.0
11,mc053,90.9090909090909
11,mc057,19.444444444444446
11,mc064,82.85714285714286
11,mc066,48.57142857142857
12,mc050,20.0
12,mc053,44.44444444444444
12,mc057,83.33333333333334
12,mc064,16.666666666666664
12,mc066,78.78787878787878
13,mc050,2.857142857142857
13,mc053,2.7777777777777777
13,mc057,19.444444444444446
13,mc064,8.823529411764707
13,mc066,27.77777777777778
14,mc050,0.0
14,mc053,3.0303030303030303
14,mc057,0.0
14,mc064,0.0
14,mc066,0.0
15,mc050,0.0
15,mc053,0.0
15,mc057,0.0
15,mc064,0.0
15,mc066,0.0
16,mc050,0.0
16,mc053,2.7777777777777777
16,mc057,0.0
16,mc064,0.0
16,mc066,0.0
17,mc050,20.588235294117645
17,mc053,57.14285714285714
17,mc057,33.33333333333333
17,mc064,0.0
17,mc066,0.0
18,mc050,0.0
18,mc053,38.70967741935484
18,mc057,63.888888888888886
18,mc064,2.857142857142857
18,mc066,5.555555555555555
19,mc050,0.0
19,mc053,0.0
19,mc057,0.0
19,mc064,0.0
19,mc066,0.0
2,mc050,0.0
2,mc053,57.14285714285714
2,mc057,41.66666666666667
2,mc064,5.555555555555555
2,mc066,0.0
20,mc050,2.7777777777777777
20,mc053,0.0
20,mc057,0.0
20,mc064,0.0
20,mc066,0.0
21,mc050,0.0
21,mc053,0.0
21,mc057,0.0
21,mc064,0.0
21,mc066,0.0
22,mc050,13.88888888888889
22,mc053,0.0
22,mc057,8.333333333333332
22,mc064,2.7777777777777777
22,mc066,10.344827586206897
23,mc050,0.0
23,mc053,0.0
23,mc057,0.0
23,mc064,0.0
23,mc066,0.0
24,mc050,67.64705882352942
24,mc053,2.7777777777777777
24,mc057,5.555555555555555
24,mc064,2.857142857142857
24,mc066,38.23529411764706
25,mc050,0.0
25,mc053,0.0
25,mc057,0.0
25,mc064,0.0
25,mc066,0.0
26,mc050,0.0
26,mc053,33.33333333333333
26,mc057,0.0
26,mc064,5.714285714285714
26,mc066,0.0
27,mc050,9.090909090909092
27,mc053,0.0
27,mc057,2.7777777777777777
27,mc064,5.555555555555555
27,mc066,14.285714285714285
28,mc050,2.941176470588235
28,mc053,0.0
28,mc057,0.0
28,mc064,3.125
28,mc066,3.8461538461538463
29,mc050,0.0
29,mc053,0.0
29,mc057,0.0
29,mc064,0.0
29,mc066,0.0
3,mc050,27.586206896551722
3,mc053,0.0
3,mc057,5.555555555555555
3,mc064,0.0
3,mc066,3.571428571428571
30,mc050,0.0
30,mc053,0.0
30,mc057,0.0
30,mc064,0.0
30,mc066,0.0
31,mc050,0.0
31,mc053,0.0
31,mc057,0.0
31,mc064,0.0
31,mc066,0.0
32,mc050,0.0
32,mc053,0.0
32,mc057,0.0
32,mc064,0.0
32,mc066,0.0
33,mc050,60.60606060606061
33,mc053,14.705882352941178
33,mc057,33.33333333333333
33,mc064,54.285714285714285
33,mc066,37.93103448275862
34,mc050,29.411764705882355
34,mc053,8.571428571428571
34,mc057,16.666666666666664
34,mc064,71.42857142857143
34,mc066,12.121212121212121
35,mc050,2.941176470588235
35,mc053,94.44444444444444
35,mc057,86.11111111111111
35,mc064,0.0
35,mc066,33.33333333333333
36,mc050,0.0
36,mc053,0.0
36,mc057,0.0
36,mc064,0.0
36,mc066,0.0
37,mc050,0.0
37,mc053,5.555555555555555
37,mc057,0.0
37,mc064,0.0
37,mc066,2.7777777777777777
38,mc050,79.41176470588235
38,mc053,0.0
38,mc057,80.55555555555556
38,mc064,17.142857142857142
38,mc066,0.0
39,mc050,0.0
39,mc053,0.0
39,mc057,0.0
39,mc064,0.0
39,mc066,0.0
4,mc050,0.0
4,mc053,0.0
4,mc057,0.0
4,mc064,0.0
4,mc066,0.0
40,mc050,64.70588235294117
40,mc053,14.285714285714285
40,mc057,0.0
40,mc064,2.857142857142857
40,mc066,53.57142857142857
41,mc050,100.0
41,mc053,26.47058823529412
41,mc057,75.0
41,mc064,8.571428571428571
41,mc066,66.66666666666666
42,mc050,9.375
42,mc053,0.0
42,mc057,5.555555555555555
42,mc064,38.23529411764706
42,mc066,2.941176470588235
43,mc050,0.0
43,mc053,2.941176470588235
43,mc057,0.0
43,mc064,0.0
43,mc066,2.857142857142857
44,mc050,0.0
44,mc053,0.0
44,mc057,5.555555555555555
44,mc064,11.428571428571429
44,mc066,75.75757575757575
45,mc050,82.85714285714286
45,mc053,79.41176470588235
45,mc057,100.0
45,mc064,97.14285714285714
45,mc066,97.22222222222221
46,mc050,5.88235294117647
46,mc053,11.11111111111111
46,mc057,11.11111111111111
46,mc064,0.0
46,mc066,45.45454545454545
47,mc050,0.0
47,mc053,0.0
47,mc057,0.0
47,mc064,0.0
47,mc066,0.0
48,mc050,0.0
48,mc053,0.0
48,mc057,0.0
48,mc064,0.0
48,mc066,0.0
49,mc050,0.0
49,mc053,0.0
49,mc057,0.0
49,mc064,0.0
49,mc066,0.0
5,mc050,0.0
5,mc053,13.88888888888889
5,mc057,0.0
5,mc064,0.0
5,mc066,0.0
50,mc050,0.0
50,mc053,2.7777777777777777
50,mc057,72.22222222222221
50,mc064,66.66666666666666
50,mc066,15.625
51,mc050,21.875
51,mc053,3.0303030303030303
51,mc057,0.0
51,mc064,0.0
51,mc066,0.0
52,mc050,0.0
52,mc053,0.0
52,mc057,0.0
52,mc064,0.0
52,mc066,0.0
53,mc050,2.941176470588235
53,mc053,0.0
53,mc057,2.7777777777777777
53,mc064,0.0
53,mc066,3.3333333333333335
54,mc050,2.7777777777777777
54,mc053,8.333333333333332
54,mc057,5.555555555555555
54,mc064,22.857142857142858
54,mc066,2.857142857142857
55,mc050,0.0
55,mc053,5.555555555555555
55,mc057,0.0
55,mc064,0.0
55,mc066,0.0
56,mc050,22.58064516129032
56,mc053,8.571428571428571
56,mc057,36.11111111111111
56,mc064,20.0
56,mc066,3.125
57,mc050,0.0
57,mc053,0.0
57,mc057,0.0
57,mc064,0.0
57,mc066,5.0
58,mc050,0.0
58,mc053,54.83870967741935
58,mc057,5.555555555555555
58,mc064,0.0
58,mc066,6.666666666666667
59,mc050,97.14285714285714
59,mc053,93.93939393939394
59,mc057,94.44444444444444
59,mc064,55.88235294117647
59,mc066,96.875
6,mc050,51.42857142857142
6,mc053,94.11764705882352
6,mc057,80.55555555555556
6,mc064,14.285714285714285
6,mc066,45.45454545454545
60,mc050,5.555555555555555
60,mc053,2.857142857142857
60,mc057,8.333333333333332
60,mc064,0.0
60,mc066,0.0
61,mc050,0.0
61,mc053,0.0
61,mc057,0.0
61,mc064,0.0
61,mc066,0.0
62,mc050,0.0
62,mc053,5.88235294117647
62,mc057,5.555555555555555
62,mc064,0.0
62,mc066,6.0606060606060606
63,mc050,0.0
63,mc053,0.0
63,mc057,0.0
63,mc064,0.0
63,mc066,0.0
64,mc050,0.0
64,mc053,0.0
64,mc057,0.0
64,mc064,0.0
64,mc066,0.0
65,mc050,0.0
65,mc053,0.0
65,mc057,2.7777777777777777
65,mc064,0.0
65,mc066,0.0
66,mc050,0.0
66,mc053,0.0
66,mc057,0.0
66,mc064,0.0
66,mc066,62.06896551724138
67,mc050,0.0
67,mc053,0.0
67,mc057,0.0
67,mc064,0.0
67,mc066,0.0
68,mc050,0.0
68,mc053,0.0
68,mc057,0.0
68,mc064,0.0
68,mc066,0.0
69,mc050,0.0
69,mc053,0.0
69,mc057,0.0
69,mc064,0.0
69,mc066,0.0
7,mc050,91.17647058823529
7,mc053,82.35294117647058
7,mc057,47.22222222222222
7,mc064,5.714285714285714
7,mc066,94.11764705882352
70,mc050,0.0
70,mc053,0.0
70,mc057,0.0
70,mc064,0.0
70,mc066,0.0
71,mc050,2.7777777777777777
71,mc053,0.0
71,mc057,0.0
71,mc064,0.0
71,mc066,0.0
72,mc050,74.28571428571429
72,mc053,82.35294117647058
72,mc057,80.0
72,mc064,80.0
72,mc066,96.96969696969697
73,mc050,94.11764705882352
73,mc053,100.0
73,mc057,72.22222222222221
73,mc064,0.0
73,mc066,21.21212121212121
74,mc050,3.3333333333333335
74,mc053,18.75
74,mc057,2.7777777777777777
74,mc064,28.57142857142857
74,mc066,54.166666666666664
75,mc050,3.225806451612903
75,mc053,9.67741935483871
75,mc057,0.0
75,mc064,22.857142857142858
75,mc066,18.51851851851852
76,mc050,0.0
76,mc053,0.0
76,mc057,0.0
76,mc064,0.0
76,mc066,0.0
77,mc050,0.0
77,mc053,17.142857142857142
77,mc057,52.77777777777778
77,mc064,0.0
77,mc066,0.0
78,mc050,5.714285714285714
78,mc053,0.0
78,mc057,0.0
78,mc064,0.0
78,mc066,3.0303030303030303
79,mc050,8.823529411764707
79,mc053,8.333333333333332
79,mc057,0.0
79,mc064,0.0
79,mc066,0.0
8,mc050,3.4482758620689653
8,mc053,50.0
8,mc057,22.22222222222222
8,mc064,20.588235294117645
8,mc066,50.0
80,mc050,0.0
80,mc053,5.88235294117647
80,mc057,0.0
80,mc064,2.7777777777777777
80,mc066,0.0
81,mc050,0.0
81,mc053,0.0
81,mc057,0.0
81,mc064,0.0
81,mc066,0.0
82,mc050,0.0
82,mc053,0.0
82,mc057,0.0
82,mc064,0.0
82,mc066,0.0
83,mc050,3.225806451612903
83,mc053,3.0303030303030303
83,mc057,0.0
83,mc064,0.0
83,mc066,17.857142857142858
84,mc050,0.0
84,mc053,0.0
84,mc057,0.0
84,mc064,0.0
84,mc066,0.0
85,mc050,2.857142857142857
85,mc053,0.0
85,mc057,0.0
85,mc064,0.0
85,mc066,0.0
86,mc050,0.0
86,mc053,0.0
86,mc057,2.7777777777777777
86,mc064,0.0
86,mc066,0.0
87,mc050,65.71428571428571
87,mc053,3.225806451612903
87,mc057,25.0
87,mc064,70.58823529411765
87,mc066,21.21212121212121
88,mc050,3.3333333333333335
88,mc053,13.88888888888889
88,mc057,2.7777777777777777
88,mc064,0.0
88,mc066,3.0303030303030303
89,mc050,68.75
89,mc053,68.57142857142857
89,mc057,52.77777777777778
89,mc064,48.57142857142857
89,mc066,24.242424242424242
9,mc050,0.0
9,mc053,25.0
9,mc057,0.0
9,mc064,0.0
9,mc066,0.0
90,mc050,3.225806451612903
90,mc053,16.666666666666664
90,mc057,33.33333333333333
90,mc064,31.428571428571427
90,mc066,35.714285714285715
91,mc050,47.22222222222222
91,mc053,91.66666666666666
91,mc057,36.11111111111111
91,mc064,8.333333333333332
91,mc066,38.23529411764706
92,mc050,0.0
92,mc053,0.0
92,mc057,0.0
92,mc064,5.714285714285714
92,mc066,0.0
93,mc050,2.857142857142857
93,mc053,82.85714285714286
93,mc057,0.0
93,mc064,0.0
93,mc066,0.0
94,mc050,0.0
94,mc053,0.0
94,mc057,0.0
94,mc064,0.0
94,mc066,0.0
95,mc050,0.0
95,mc053,0.0
95,mc057,0.0
95,mc064,0.0
95,mc066,0.0
96,mc050,0.0
96,mc053,0.0
96,mc057,0.0
96,mc064,0.0
96,mc066,2.7777777777777777
97,mc050,0.0
97,mc053,2.7777777777777777
97,mc057,0.0
97,mc064,0.0
97,mc066,0.0
